event_type,face,statement,end_time,duration
encoding,white_neutral_faces/CFD-WF-220-101-N.jpg,I like it when it's warm outside.,6,6
jitter,,,9,3
encoding,white_neutral_faces/CFD-WF-200-099-N.jpg,I love the smell of the ocean.,15,6
jitter,,,16,1
encoding,white_neutral_faces/CFD-WF-228-196-N.jpg,I hate the feeling of being sunburned.,22,6
jitter,,,26,4
encoding,white_neutral_faces/CFD-WM-010-001-N.jpg,I hate the sound of thunder and lightning.,32,6
jitter,,,36,4
encoding,white_neutral_faces/CFD-WF-228-196-N.jpg,I love the feeling of the sun on my skin.,42,6
jitter,,,45,3
encoding,white_neutral_faces/CFD-WF-201-156-N.jpg,I hate the feeling of being snowed in.,51,6
jitter,,,52,1
encoding,white_neutral_faces/CFD-WM-010-001-N.jpg,I prefer a light breeze to a strong wind.,58,6
jitter,,,62,4
encoding,white_neutral_faces/CFD-WM-014-002-N.jpg,I prefer sunny weather to rainy weather.,68,6
jitter,,,72,4
encoding,white_neutral_faces/CFD-WM-207-048-N.jpg,I am scared of hailstorms. ,78,6
jitter,,,80,2
encoding,white_neutral_faces/CFD-WF-220-101-N.jpg,"I like the feeling of cool, crisp air.",86,6
jitter,,,88,2
encoding,white_neutral_faces/CFD-WM-010-001-N.jpg,I don't like the feeling of sand in my shoes.,94,6
jitter,,,98,4
encoding,white_neutral_faces/CFD-WM-207-048-N.jpg,I don't like when it sleets.,104,6
jitter,,,106,2
encoding,white_neutral_faces/CFD-WF-200-099-N.jpg,I like it when it's cloudy on a hot day.,112,6
jitter,,,113,1
encoding,white_neutral_faces/CFD-WF-201-156-N.jpg,I don't like the smell of humidity.,119,6
jitter,,,121,2
encoding,white_neutral_faces/CFD-WM-041-021-N.jpg,I don't like it when it's too hot outside.,127,6
jitter,,,130,3
encoding,white_neutral_faces/CFD-WM-041-021-N.jpg,I enjoy the feeling of a gentle breeze on my face.,136,6
jitter,,,139,3
encoding,white_neutral_faces/CFD-WF-220-101-N.jpg,I enjoy the sight of a rainbow.,145,6
jitter,,,146,1
encoding,white_neutral_faces/CFD-WM-014-002-N.jpg,I like a warm spring morning.,152,6
jitter,,,155,3
encoding,white_neutral_faces/CFD-WF-228-196-N.jpg,I like the sight of snow-capped mountains.,161,6
jitter,,,163,2
encoding,white_neutral_faces/CFD-WM-014-002-N.jpg,I love the sound of waves crashing on the shore.,169,6
jitter,,,171,2
encoding,white_neutral_faces/CFD-WM-207-048-N.jpg,I enjoy the sight of a clear blue sky.,177,6
jitter,,,181,4
encoding,white_neutral_faces/CFD-WM-041-021-N.jpg,I love the smell of rain in the air.,187,6
jitter,,,190,3
encoding,white_neutral_faces/CFD-WF-201-156-N.jpg,I hate being cold.,196,6
jitter,,,197,1
encoding,white_neutral_faces/CFD-WF-200-099-N.jpg,I don't like it when it's foggy.,203,6
jitter,,,204,1
