event_type,face,statement,end_time,duration
encoding,white_neutral_faces/CFD-WM-014-002-N.jpg,I love the smell of the ocean.,6,6
jitter,,,10,4
encoding,white_neutral_faces/CFD-WM-041-021-N.jpg,I enjoy the sight of a rainbow.,16,6
jitter,,,19,3
encoding,white_neutral_faces/CFD-WF-220-101-N.jpg,I don't like when it sleets.,25,6
jitter,,,27,2
encoding,white_neutral_faces/CFD-WF-228-196-N.jpg,I don't like the feeling of sand in my shoes.,33,6
jitter,,,34,1
encoding,white_neutral_faces/CFD-WF-220-101-N.jpg,I hate the feeling of being sunburned.,40,6
jitter,,,44,4
encoding,white_neutral_faces/CFD-WF-228-196-N.jpg,I love the feeling of the sun on my skin.,50,6
jitter,,,54,4
encoding,white_neutral_faces/CFD-WF-201-156-N.jpg,I like the sight of snow-capped mountains.,60,6
jitter,,,61,1
encoding,white_neutral_faces/CFD-WF-220-101-N.jpg,I prefer a light breeze to a strong wind.,67,6
jitter,,,69,2
encoding,white_neutral_faces/CFD-WM-014-002-N.jpg,I hate the feeling of being snowed in.,75,6
jitter,,,79,4
encoding,white_neutral_faces/CFD-WM-207-048-N.jpg,I like a warm spring morning.,85,6
jitter,,,88,3
encoding,white_neutral_faces/CFD-WF-200-099-N.jpg,I like it when it's cloudy on a hot day.,94,6
jitter,,,96,2
encoding,white_neutral_faces/CFD-WM-207-048-N.jpg,I am scared of hailstorms. ,102,6
jitter,,,105,3
encoding,white_neutral_faces/CFD-WM-041-021-N.jpg,I hate the sound of thunder and lightning.,111,6
jitter,,,114,3
encoding,white_neutral_faces/CFD-WM-010-001-N.jpg,"I like the feeling of cool, crisp air.",120,6
jitter,,,124,4
encoding,white_neutral_faces/CFD-WF-200-099-N.jpg,I don't like it when it's too hot outside.,130,6
jitter,,,131,1
encoding,white_neutral_faces/CFD-WM-014-002-N.jpg,I like it when it's warm outside.,137,6
jitter,,,138,1
encoding,white_neutral_faces/CFD-WF-228-196-N.jpg,I don't like it when it's foggy.,144,6
jitter,,,146,2
encoding,white_neutral_faces/CFD-WF-200-099-N.jpg,I love the smell of rain in the air.,152,6
jitter,,,153,1
encoding,white_neutral_faces/CFD-WF-201-156-N.jpg,I prefer sunny weather to rainy weather.,159,6
jitter,,,163,4
encoding,white_neutral_faces/CFD-WM-041-021-N.jpg,I enjoy the feeling of a gentle breeze on my face.,169,6
jitter,,,170,1
encoding,white_neutral_faces/CFD-WF-201-156-N.jpg,I hate being cold.,176,6
jitter,,,180,4
encoding,white_neutral_faces/CFD-WM-010-001-N.jpg,I enjoy the sight of a clear blue sky.,186,6
jitter,,,188,2
encoding,white_neutral_faces/CFD-WM-207-048-N.jpg,I don't like the smell of humidity.,194,6
jitter,,,197,3
encoding,white_neutral_faces/CFD-WM-010-001-N.jpg,I love the sound of waves crashing on the shore.,203,6
jitter,,,204,1
