event_type,face,statement,end_time,duration
encoding,white_neutral_faces/CFD-WM-202-107-N.jpg,I like hiking a beautiful mountain range.,6,6
jitter,,,8,2
encoding,white_neutral_faces/CFD-WF-023-003-N.jpg,I don't like the feeling of being sunburned.,14,6
jitter,,,18,4
encoding,white_neutral_faces/CFD-WM-202-107-N.jpg,I don't being sore after exercising.,24,6
jitter,,,28,4
encoding,white_neutral_faces/CFD-WF-224-099-N.jpg,I don't like social activities.,34,6
jitter,,,36,2
encoding,white_neutral_faces/CFD-WM-039-018-N.jpg,I like it when it's a team sport.,42,6
jitter,,,43,1
encoding,white_neutral_faces/CFD-WM-039-018-N.jpg,I enjoy the sound of the crowd cheering.,49,6
jitter,,,52,3
encoding,white_neutral_faces/CFD-WM-217-070-N.jpg,I hate the feeling of losing a game.,58,6
jitter,,,62,4
encoding,white_neutral_faces/CFD-WF-028-023-N.jpg,I love the feeling of peace that comes with being in nature.,68,6
jitter,,,71,3
encoding,white_neutral_faces/CFD-WM-026-001-N.jpg,I enjoy sailing in the bay.,77,6
jitter,,,80,3
encoding,white_neutral_faces/CFD-WF-224-099-N.jpg,I hate the feeling of sand in my shoes.,86,6
jitter,,,87,1
encoding,white_neutral_faces/CFD-WF-224-099-N.jpg,I like the feeling of runnning fast.,93,6
jitter,,,95,2
encoding,white_neutral_faces/CFD-WF-028-023-N.jpg,I love knitting or crocheting.,101,6
jitter,,,103,2
encoding,white_neutral_faces/CFD-WM-039-018-N.jpg,I love completing marathons.,109,6
jitter,,,112,3
encoding,white_neutral_faces/CFD-WF-007-001-N.jpg,I enjoy outdoor activities.,118,6
jitter,,,122,4
encoding,white_neutral_faces/CFD-WM-202-107-N.jpg,I like surfing on large waves.,128,6
jitter,,,130,2
encoding,white_neutral_faces/CFD-WM-026-001-N.jpg,I don't like sports when they are too competitive.,136,6
jitter,,,138,2
encoding,white_neutral_faces/CFD-WM-217-070-N.jpg,I like quieter activities.,144,6
jitter,,,148,4
encoding,white_neutral_faces/CFD-WF-007-001-N.jpg,I am worried about being lost in nature.,154,6
jitter,,,156,2
encoding,white_neutral_faces/CFD-WF-007-001-N.jpg,I don't like getting blisters.,162,6
jitter,,,166,4
encoding,white_neutral_faces/CFD-WM-026-001-N.jpg,I hate the feeling of being tired.,172,6
jitter,,,176,4
encoding,white_neutral_faces/CFD-WM-217-070-N.jpg,I love the feeling of accomplishment after finishing a race.,182,6
jitter,,,183,1
encoding,white_neutral_faces/CFD-WF-028-023-N.jpg,I love the feeling of scoring a goal.,189,6
jitter,,,190,1
encoding,white_neutral_faces/CFD-WF-023-003-N.jpg,I prefer playing basketball to football.,196,6
jitter,,,197,1
encoding,white_neutral_faces/CFD-WF-023-003-N.jpg,I love painting or sculpting.,203,6
jitter,,,204,1
