event_type,face,statement,end_time,duration
encoding,white_neutral_faces/CFD-WF-200-099-N.jpg,I love the smell of the ocean.,6,6
jitter,,,10,4
encoding,white_neutral_faces/CFD-WF-220-101-N.jpg,I enjoy the sight of a rainbow.,16,6
jitter,,,19,3
encoding,white_neutral_faces/CFD-WM-014-002-N.jpg,I prefer a light breeze to a strong wind.,25,6
jitter,,,27,2
encoding,white_neutral_faces/CFD-WF-228-196-N.jpg,I like the sight of snow-capped mountains.,33,6
jitter,,,35,2
encoding,white_neutral_faces/CFD-WM-207-048-N.jpg,I love the feeling of the sun on my skin.,41,6
jitter,,,44,3
encoding,white_neutral_faces/CFD-WF-228-196-N.jpg,I like it when it's cloudy on a hot day.,50,6
jitter,,,51,1
encoding,white_neutral_faces/CFD-WF-200-099-N.jpg,I enjoy the sight of a clear blue sky.,57,6
jitter,,,60,3
encoding,white_neutral_faces/CFD-WF-228-196-N.jpg,I prefer sunny weather to rainy weather.,66,6
jitter,,,69,3
encoding,white_neutral_faces/CFD-WM-014-002-N.jpg,I don't like it when it's too hot outside.,75,6
jitter,,,77,2
encoding,white_neutral_faces/CFD-WM-207-048-N.jpg,I hate the feeling of being snowed in.,83,6
jitter,,,85,2
encoding,white_neutral_faces/CFD-WF-220-101-N.jpg,I love the smell of rain in the air.,91,6
jitter,,,92,1
encoding,white_neutral_faces/CFD-WM-010-001-N.jpg,I am scared of hailstorms. ,98,6
jitter,,,101,3
encoding,white_neutral_faces/CFD-WF-220-101-N.jpg,I like it when it's warm outside.,107,6
jitter,,,109,2
encoding,white_neutral_faces/CFD-WM-010-001-N.jpg,I don't like the feeling of sand in my shoes.,115,6
jitter,,,117,2
encoding,white_neutral_faces/CFD-WM-041-021-N.jpg,I don't like when it sleets.,123,6
jitter,,,127,4
encoding,white_neutral_faces/CFD-WF-201-156-N.jpg,I don't like the smell of humidity.,133,6
jitter,,,135,2
encoding,white_neutral_faces/CFD-WF-200-099-N.jpg,I hate being cold.,141,6
jitter,,,144,3
encoding,white_neutral_faces/CFD-WM-041-021-N.jpg,I don't like it when it's foggy.,150,6
jitter,,,151,1
encoding,white_neutral_faces/CFD-WM-014-002-N.jpg,"I like the feeling of cool, crisp air.",157,6
jitter,,,158,1
encoding,white_neutral_faces/CFD-WM-041-021-N.jpg,I like a warm spring morning.,164,6
jitter,,,165,1
encoding,white_neutral_faces/CFD-WF-201-156-N.jpg,I love the sound of waves crashing on the shore.,171,6
jitter,,,174,3
encoding,white_neutral_faces/CFD-WM-207-048-N.jpg,I hate the sound of thunder and lightning.,180,6
jitter,,,182,2
encoding,white_neutral_faces/CFD-WM-010-001-N.jpg,I enjoy the feeling of a gentle breeze on my face.,188,6
jitter,,,190,2
encoding,white_neutral_faces/CFD-WF-201-156-N.jpg,I hate the feeling of being sunburned.,196,6
jitter,,,204,8
