event_type,face,statement,end_time,duration
encoding,white_neutral_faces/CFD-WF-023-003-N.jpg,I love the feeling of peace that comes with being in nature.,6,6
jitter,,,7,1
encoding,white_neutral_faces/CFD-WM-217-070-N.jpg,I love completing marathons.,13,6
jitter,,,17,4
encoding,white_neutral_faces/CFD-WM-217-070-N.jpg,I like it when it's a team sport.,23,6
jitter,,,27,4
encoding,white_neutral_faces/CFD-WF-028-023-N.jpg,I enjoy the sound of the crowd cheering.,33,6
jitter,,,37,4
encoding,white_neutral_faces/CFD-WM-202-107-N.jpg,I don't like getting blisters.,43,6
jitter,,,44,1
encoding,white_neutral_faces/CFD-WF-007-001-N.jpg,I love the feeling of scoring a goal.,50,6
jitter,,,53,3
encoding,white_neutral_faces/CFD-WM-202-107-N.jpg,I am worried about being lost in nature.,59,6
jitter,,,61,2
encoding,white_neutral_faces/CFD-WM-026-001-N.jpg,I like surfing on large waves.,67,6
jitter,,,68,1
encoding,white_neutral_faces/CFD-WM-202-107-N.jpg,I like quieter activities.,74,6
jitter,,,77,3
encoding,white_neutral_faces/CFD-WF-028-023-N.jpg,I hate the feeling of being tired.,83,6
jitter,,,86,3
encoding,white_neutral_faces/CFD-WM-217-070-N.jpg,I like the feeling of runnning fast.,92,6
jitter,,,95,3
encoding,white_neutral_faces/CFD-WM-026-001-N.jpg,I love painting or sculpting.,101,6
jitter,,,102,1
encoding,white_neutral_faces/CFD-WM-039-018-N.jpg,I love the feeling of accomplishment after finishing a race.,108,6
jitter,,,109,1
encoding,white_neutral_faces/CFD-WF-224-099-N.jpg,I love knitting or crocheting.,115,6
jitter,,,117,2
encoding,white_neutral_faces/CFD-WM-039-018-N.jpg,I don't being sore after exercising.,123,6
jitter,,,124,1
encoding,white_neutral_faces/CFD-WF-007-001-N.jpg,I like hiking a beautiful mountain range.,130,6
jitter,,,134,4
encoding,white_neutral_faces/CFD-WF-224-099-N.jpg,I hate the feeling of losing a game.,140,6
jitter,,,142,2
encoding,white_neutral_faces/CFD-WF-007-001-N.jpg,I don't like social activities.,148,6
jitter,,,150,2
encoding,white_neutral_faces/CFD-WM-026-001-N.jpg,I enjoy outdoor activities.,156,6
jitter,,,159,3
encoding,white_neutral_faces/CFD-WF-023-003-N.jpg,I don't like sports when they are too competitive.,165,6
jitter,,,169,4
encoding,white_neutral_faces/CFD-WF-023-003-N.jpg,I hate the feeling of sand in my shoes.,175,6
jitter,,,176,1
encoding,white_neutral_faces/CFD-WF-224-099-N.jpg,I don't like the feeling of being sunburned.,182,6
jitter,,,184,2
encoding,white_neutral_faces/CFD-WF-028-023-N.jpg,I enjoy sailing in the bay.,190,6
jitter,,,192,2
encoding,white_neutral_faces/CFD-WM-039-018-N.jpg,I prefer playing basketball to football.,198,6
jitter,,,204,6
