event_type,face,statement,end_time,duration
encoding,white_neutral_faces/CFD-WM-203-023-N.jpg,I hate the sight of a sick or injured animal.,6,6
jitter,,,10,4
encoding,white_neutral_faces/CFD-WM-256-138-N.jpg,I hate the smell of animal poop.,16,6
jitter,,,19,3
encoding,white_neutral_faces/CFD-WF-205-006-N.jpg,I love the feeling of being a responsible pet owner.,25,6
jitter,,,29,4
encoding,white_neutral_faces/CFD-WM-209-038-N.jpg,I love the way animals teach me about patience and compassion.,35,6
jitter,,,37,2
encoding,white_neutral_faces/CFD-WF-002-004-N.jpg,I hate the way animals scratch furniture.,43,6
jitter,,,47,4
encoding,white_neutral_faces/CFD-WF-210-086-N.jpg,I like the feeling fur on my skin.,53,6
jitter,,,57,4
encoding,white_neutral_faces/CFD-WM-256-138-N.jpg,"I love animals' big, innocent eyes.",63,6
jitter,,,65,2
encoding,white_neutral_faces/CFD-WF-002-004-N.jpg,I don't like the way animals can be destructive.,71,6
jitter,,,73,2
encoding,white_neutral_faces/CFD-WM-203-023-N.jpg,I love the feeling of satisfaction after helping an animal in need.,79,6
jitter,,,81,2
encoding,white_neutral_faces/CFD-WM-231-112-N.jpg,I love when animals wag their tails.,87,6
jitter,,,89,2
encoding,white_neutral_faces/CFD-WM-203-023-N.jpg,I hate the way animals can be unpredictable.,95,6
jitter,,,98,3
encoding,white_neutral_faces/CFD-WM-209-038-N.jpg,I don't like animals when they're too big.,104,6
jitter,,,105,1
encoding,white_neutral_faces/CFD-WF-210-086-N.jpg,I prefer to live in a house with animals.,111,6
jitter,,,114,3
encoding,white_neutral_faces/CFD-WF-217-085-N.jpg,I love to take animals with me everywhere.,120,6
jitter,,,122,2
encoding,white_neutral_faces/CFD-WF-205-006-N.jpg,I prefer dogs to cats.,128,6
jitter,,,131,3
encoding,white_neutral_faces/CFD-WF-002-004-N.jpg,I don't like the feeling of guilt after abandoning an animal.,137,6
jitter,,,138,1
encoding,white_neutral_faces/CFD-WF-217-085-N.jpg,I like the way animals make me feel happy and loved.,144,6
jitter,,,147,3
encoding,white_neutral_faces/CFD-WF-217-085-N.jpg,I like the sight of a playful puppy running around.,153,6
jitter,,,154,1
encoding,white_neutral_faces/CFD-WF-205-006-N.jpg,I like when animals are part of my family.,160,6
jitter,,,163,3
encoding,white_neutral_faces/CFD-WM-209-038-N.jpg,I don't like animals that shed fur.,169,6
jitter,,,172,3
encoding,white_neutral_faces/CFD-WF-210-086-N.jpg,I enjoy the sound of barks.,178,6
jitter,,,181,3
encoding,white_neutral_faces/CFD-WM-231-112-N.jpg,I like animals when they're furry.,187,6
jitter,,,188,1
encoding,white_neutral_faces/CFD-WM-256-138-N.jpg,"I enjoy the feeling of a warm, cuddly dog.",194,6
jitter,,,196,2
encoding,white_neutral_faces/CFD-WM-231-112-N.jpg,I enjoy the company of animals.,202,6
jitter,,,204,2
