event_type,face,statement,end_time,duration
show_statement,white_neutral_faces/CFD-WF-007-001-N.jpg,I don't like the feeling of being sunburned.,6,6
jitter,,,10,4
show_grid,white_neutral_faces/CFD-WF-007-001-N.jpg,I don't like the feeling of being sunburned.,16,6
jitter,,,20,4
show_statement,white_neutral_faces/CFD-WM-202-107-N.jpg,I enjoy sailing in the bay.,26,6
jitter,,,29,3
show_grid,white_neutral_faces/CFD-WM-202-107-N.jpg,I enjoy sailing in the bay.,35,6
jitter,,,36,1
show_statement,white_neutral_faces/CFD-WF-028-023-N.jpg,I enjoy outdoor activities.,42,6
jitter,,,43,1
show_grid,white_neutral_faces/CFD-WF-028-023-N.jpg,I enjoy outdoor activities.,49,6
jitter,,,51,2
show_statement,white_neutral_faces/CFD-WF-224-099-N.jpg,I don't like sports when they are too competitive.,57,6
jitter,,,59,2
show_grid,white_neutral_faces/CFD-WF-224-099-N.jpg,I don't like sports when they are too competitive.,65,6
jitter,,,67,2
show_statement,white_neutral_faces/CFD-WM-039-018-N.jpg,I hate the feeling of being tired.,73,6
jitter,,,75,2
show_grid,white_neutral_faces/CFD-WM-039-018-N.jpg,I hate the feeling of being tired.,81,6
jitter,,,85,4
show_statement,white_neutral_faces/CFD-WF-007-001-N.jpg,I prefer playing basketball to football.,91,6
jitter,,,95,4
show_grid,white_neutral_faces/CFD-WF-007-001-N.jpg,I prefer playing basketball to football.,101,6
jitter,,,105,4
show_statement,white_neutral_faces/CFD-WF-023-003-N.jpg,I don't like getting blisters.,111,6
jitter,,,113,2
show_grid,white_neutral_faces/CFD-WF-023-003-N.jpg,I don't like getting blisters.,119,6
jitter,,,120,1
show_statement,white_neutral_faces/CFD-WM-217-070-N.jpg,I like the feeling of runnning fast.,126,6
jitter,,,127,1
show_grid,white_neutral_faces/CFD-WM-217-070-N.jpg,I like the feeling of runnning fast.,133,6
jitter,,,137,4
show_statement,white_neutral_faces/CFD-WF-028-023-N.jpg,I don't like social activities.,143,6
jitter,,,145,2
show_grid,white_neutral_faces/CFD-WF-028-023-N.jpg,I don't like social activities.,151,6
jitter,,,155,4
show_statement,white_neutral_faces/CFD-WF-028-023-N.jpg,I like hiking a beautiful mountain range.,161,6
jitter,,,164,3
show_grid,white_neutral_faces/CFD-WF-028-023-N.jpg,I like hiking a beautiful mountain range.,170,6
jitter,,,173,3
show_statement,white_neutral_faces/CFD-WF-224-099-N.jpg,I love painting or sculpting.,179,6
jitter,,,181,2
show_grid,white_neutral_faces/CFD-WF-224-099-N.jpg,I love painting or sculpting.,187,6
jitter,,,189,2
