event_type,face,statement,end_time,duration
show_statement,white_neutral_faces/CFD-WM-252-224-N.jpg,I hate the sight of a moldy piece of fruit.,6,6
jitter,,,9,3
show_grid,white_neutral_faces/CFD-WM-252-224-N.jpg,I hate the sight of a moldy piece of fruit.,15,6
jitter,,,19,4
show_statement,white_neutral_faces/CFD-WF-039-025-N.jpg,I don't like food when it's greasy and unhealthy.,25,6
jitter,,,28,3
show_grid,white_neutral_faces/CFD-WF-039-025-N.jpg,I don't like food when it's greasy and unhealthy.,34,6
jitter,,,36,2
show_statement,white_neutral_faces/CFD-WF-039-025-N.jpg,I enjoy a warm chocolate chip cookie.,42,6
jitter,,,44,2
show_grid,white_neutral_faces/CFD-WF-039-025-N.jpg,I enjoy a warm chocolate chip cookie.,50,6
jitter,,,51,1
show_statement,white_neutral_faces/CFD-WM-252-224-N.jpg,I prefer a salad to a plate of fries.,57,6
jitter,,,60,3
show_grid,white_neutral_faces/CFD-WM-252-224-N.jpg,I prefer a salad to a plate of fries.,66,6
jitter,,,67,1
show_statement,white_neutral_faces/CFD-WF-025-019-N.jpg,I hate slimy noodles.,73,6
jitter,,,77,4
show_grid,white_neutral_faces/CFD-WF-025-019-N.jpg,I hate slimy noodles.,83,6
jitter,,,84,1
show_statement,white_neutral_faces/CFD-WF-248-129-N.jpg,I love the smell of garlic cooking in a pan.,90,6
jitter,,,92,2
show_grid,white_neutral_faces/CFD-WF-248-129-N.jpg,I love the smell of garlic cooking in a pan.,98,6
jitter,,,102,4
show_statement,white_neutral_faces/CFD-WF-248-129-N.jpg,I like the sound of a slurping noodle.,108,6
jitter,,,112,4
show_grid,white_neutral_faces/CFD-WF-248-129-N.jpg,I like the sound of a slurping noodle.,118,6
jitter,,,120,2
show_statement,white_neutral_faces/CFD-WM-201-063-N.jpg,I hate the taste of olives.,126,6
jitter,,,127,1
show_grid,white_neutral_faces/CFD-WM-201-063-N.jpg,I hate the taste of olives.,133,6
jitter,,,136,3
show_statement,white_neutral_faces/CFD-WF-039-025-N.jpg,I enjoy the smell of fresh-baked bread.,142,6
jitter,,,143,1
show_grid,white_neutral_faces/CFD-WF-039-025-N.jpg,I enjoy the smell of fresh-baked bread.,149,6
jitter,,,153,4
show_statement,white_neutral_faces/CFD-WM-001-014-N.jpg,I love the feeling of a cold glass of lemonade.,159,6
jitter,,,162,3
