event_type,face,statement,end_time,duration
show_statement,white_neutral_faces/CFD-WM-010-001-N.jpg,I hate the sound of thunder and lightning.,6,6
jitter,,,10,4
show_grid,white_neutral_faces/CFD-WM-010-001-N.jpg,I hate the sound of thunder and lightning.,16,6
jitter,,,20,4
show_statement,white_neutral_faces/CFD-WM-041-021-N.jpg,I love the smell of rain in the air.,26,6
jitter,,,27,1
show_grid,white_neutral_faces/CFD-WM-041-021-N.jpg,I love the smell of rain in the air.,33,6
jitter,,,37,4
show_statement,white_neutral_faces/CFD-WM-207-048-N.jpg,I don't like when it sleets.,43,6
jitter,,,47,4
show_grid,white_neutral_faces/CFD-WM-207-048-N.jpg,I don't like when it sleets.,53,6
jitter,,,54,1
show_statement,white_neutral_faces/CFD-WF-220-101-N.jpg,"I like the feeling of cool, crisp air.",60,6
jitter,,,63,3
show_grid,white_neutral_faces/CFD-WF-220-101-N.jpg,"I like the feeling of cool, crisp air.",69,6
jitter,,,70,1
show_statement,white_neutral_faces/CFD-WM-010-001-N.jpg,I don't like the feeling of sand in my shoes.,76,6
jitter,,,79,3
show_grid,white_neutral_faces/CFD-WM-010-001-N.jpg,I don't like the feeling of sand in my shoes.,85,6
jitter,,,87,2
show_statement,white_neutral_faces/CFD-WF-201-156-N.jpg,I hate the feeling of being snowed in.,93,6
jitter,,,96,3
show_grid,white_neutral_faces/CFD-WF-201-156-N.jpg,I hate the feeling of being snowed in.,102,6
jitter,,,103,1
show_statement,white_neutral_faces/CFD-WF-200-099-N.jpg,I love the smell of the ocean.,109,6
jitter,,,110,1
show_grid,white_neutral_faces/CFD-WF-200-099-N.jpg,I love the smell of the ocean.,116,6
jitter,,,120,4
show_statement,white_neutral_faces/CFD-WM-014-002-N.jpg,I love the sound of waves crashing on the shore.,126,6
jitter,,,128,2
show_grid,white_neutral_faces/CFD-WM-014-002-N.jpg,I love the sound of waves crashing on the shore.,134,6
jitter,,,137,3
show_statement,white_neutral_faces/CFD-WM-041-021-N.jpg,I don't like it when it's too hot outside.,143,6
jitter,,,144,1
show_grid,white_neutral_faces/CFD-WM-041-021-N.jpg,I don't like it when it's too hot outside.,150,6
jitter,,,154,4
show_statement,white_neutral_faces/CFD-WF-201-156-N.jpg,I hate being cold.,160,6
jitter,,,161,1
show_grid,white_neutral_faces/CFD-WF-201-156-N.jpg,I hate being cold.,167,6
jitter,,,170,3
show_statement,white_neutral_faces/CFD-WM-207-048-N.jpg,I enjoy the sight of a clear blue sky.,176,6
jitter,,,178,2
show_grid,white_neutral_faces/CFD-WM-207-048-N.jpg,I enjoy the sight of a clear blue sky.,184,6
jitter,,,186,2
show_statement,white_neutral_faces/CFD-WF-228-196-N.jpg,I like the sight of snow-capped mountains.,192,6
jitter,,,196,4
show_grid,white_neutral_faces/CFD-WF-228-196-N.jpg,I like the sight of snow-capped mountains.,202,6
jitter,,,206,4
show_statement,white_neutral_faces/CFD-WF-228-196-N.jpg,I hate the feeling of being sunburned.,212,6
jitter,,,215,3
show_grid,white_neutral_faces/CFD-WF-228-196-N.jpg,I hate the feeling of being sunburned.,221,6
jitter,,,222,1
show_statement,white_neutral_faces/CFD-WF-201-156-N.jpg,I don't like the smell of humidity.,228,6
jitter,,,232,4
show_grid,white_neutral_faces/CFD-WF-201-156-N.jpg,I don't like the smell of humidity.,238,6
jitter,,,242,4
show_statement,white_neutral_faces/CFD-WM-010-001-N.jpg,I prefer a light breeze to a strong wind.,248,6
jitter,,,250,2
show_grid,white_neutral_faces/CFD-WM-010-001-N.jpg,I prefer a light breeze to a strong wind.,256,6
jitter,,,259,3
show_statement,white_neutral_faces/CFD-WF-200-099-N.jpg,I don't like it when it's foggy.,265,6
jitter,,,266,1
show_grid,white_neutral_faces/CFD-WF-200-099-N.jpg,I don't like it when it's foggy.,272,6
jitter,,,274,2
show_statement,white_neutral_faces/CFD-WF-220-101-N.jpg,I enjoy the sight of a rainbow.,280,6
jitter,,,283,3
show_grid,white_neutral_faces/CFD-WF-220-101-N.jpg,I enjoy the sight of a rainbow.,289,6
jitter,,,290,1
show_statement,white_neutral_faces/CFD-WF-220-101-N.jpg,I like it when it's warm outside.,296,6
jitter,,,299,3
show_grid,white_neutral_faces/CFD-WF-220-101-N.jpg,I like it when it's warm outside.,305,6
jitter,,,306,1
show_statement,white_neutral_faces/CFD-WM-041-021-N.jpg,I enjoy the feeling of a gentle breeze on my face.,312,6
jitter,,,313,1
show_grid,white_neutral_faces/CFD-WM-041-021-N.jpg,I enjoy the feeling of a gentle breeze on my face.,319,6
jitter,,,321,2
show_statement,white_neutral_faces/CFD-WF-228-196-N.jpg,I love the feeling of the sun on my skin.,327,6
jitter,,,328,1
show_grid,white_neutral_faces/CFD-WF-228-196-N.jpg,I love the feeling of the sun on my skin.,334,6
jitter,,,335,1
show_statement,white_neutral_faces/CFD-WM-014-002-N.jpg,I like a warm spring morning.,341,6
jitter,,,343,2
show_grid,white_neutral_faces/CFD-WM-014-002-N.jpg,I like a warm spring morning.,349,6
jitter,,,352,3
show_statement,white_neutral_faces/CFD-WM-014-002-N.jpg,I prefer sunny weather to rainy weather.,358,6
jitter,,,361,3
show_grid,white_neutral_faces/CFD-WM-014-002-N.jpg,I prefer sunny weather to rainy weather.,367,6
jitter,,,371,4
show_statement,white_neutral_faces/CFD-WM-207-048-N.jpg,I am scared of hailstorms. ,377,6
jitter,,,379,2
show_grid,white_neutral_faces/CFD-WM-207-048-N.jpg,I am scared of hailstorms. ,385,6
jitter,,,387,2
show_statement,white_neutral_faces/CFD-WF-200-099-N.jpg,I like it when it's cloudy on a hot day.,393,6
jitter,,,395,2
show_grid,white_neutral_faces/CFD-WF-200-099-N.jpg,I like it when it's cloudy on a hot day.,401,6
jitter,,,408,7
