event_type,face,statement,end_time,duration
show_statement,white_neutral_faces/CFD-WM-014-002-N.jpg,I don't like it when it's too hot outside.,6,6
jitter,,,9,3
show_grid,white_neutral_faces/CFD-WM-014-002-N.jpg,I don't like it when it's too hot outside.,15,6
jitter,,,17,2
show_statement,white_neutral_faces/CFD-WF-228-196-N.jpg,I like it when it's cloudy on a hot day.,23,6
jitter,,,27,4
show_grid,white_neutral_faces/CFD-WF-228-196-N.jpg,I like it when it's cloudy on a hot day.,33,6
jitter,,,36,3
show_statement,white_neutral_faces/CFD-WF-228-196-N.jpg,I like the sight of snow-capped mountains.,42,6
jitter,,,44,2
show_grid,white_neutral_faces/CFD-WF-228-196-N.jpg,I like the sight of snow-capped mountains.,50,6
jitter,,,53,3
show_statement,white_neutral_faces/CFD-WM-041-021-N.jpg,I don't like it when it's foggy.,59,6
jitter,,,61,2
show_grid,white_neutral_faces/CFD-WM-041-021-N.jpg,I don't like it when it's foggy.,67,6
jitter,,,71,4
show_statement,white_neutral_faces/CFD-WF-228-196-N.jpg,I prefer sunny weather to rainy weather.,77,6
jitter,,,78,1
show_grid,white_neutral_faces/CFD-WF-228-196-N.jpg,I prefer sunny weather to rainy weather.,84,6
jitter,,,85,1
show_statement,white_neutral_faces/CFD-WM-014-002-N.jpg,I prefer a light breeze to a strong wind.,91,6
jitter,,,94,3
show_grid,white_neutral_faces/CFD-WM-014-002-N.jpg,I prefer a light breeze to a strong wind.,100,6
jitter,,,102,2
show_statement,white_neutral_faces/CFD-WF-201-156-N.jpg,I don't like the smell of humidity.,108,6
jitter,,,111,3
show_grid,white_neutral_faces/CFD-WF-201-156-N.jpg,I don't like the smell of humidity.,117,6
jitter,,,121,4
show_statement,white_neutral_faces/CFD-WM-041-021-N.jpg,I like a warm spring morning.,127,6
jitter,,,130,3
show_grid,white_neutral_faces/CFD-WM-041-021-N.jpg,I like a warm spring morning.,136,6
jitter,,,137,1
show_statement,white_neutral_faces/CFD-WF-200-099-N.jpg,I hate being cold.,143,6
jitter,,,146,3
show_grid,white_neutral_faces/CFD-WF-200-099-N.jpg,I hate being cold.,152,6
jitter,,,154,2
show_statement,white_neutral_faces/CFD-WM-207-048-N.jpg,I love the feeling of the sun on my skin.,160,6
jitter,,,164,4
show_grid,white_neutral_faces/CFD-WM-207-048-N.jpg,I love the feeling of the sun on my skin.,170,6
jitter,,,172,2
show_statement,white_neutral_faces/CFD-WF-220-101-N.jpg,I like it when it's warm outside.,178,6
jitter,,,180,2
show_grid,white_neutral_faces/CFD-WF-220-101-N.jpg,I like it when it's warm outside.,186,6
jitter,,,190,4
show_statement,white_neutral_faces/CFD-WF-220-101-N.jpg,I enjoy the sight of a rainbow.,196,6
jitter,,,199,3
show_grid,white_neutral_faces/CFD-WF-220-101-N.jpg,I enjoy the sight of a rainbow.,205,6
jitter,,,206,1
show_statement,white_neutral_faces/CFD-WM-010-001-N.jpg,I am scared of hailstorms. ,212,6
jitter,,,214,2
show_grid,white_neutral_faces/CFD-WM-010-001-N.jpg,I am scared of hailstorms. ,220,6
jitter,,,222,2
show_statement,white_neutral_faces/CFD-WM-010-001-N.jpg,I enjoy the feeling of a gentle breeze on my face.,228,6
jitter,,,229,1
show_grid,white_neutral_faces/CFD-WM-010-001-N.jpg,I enjoy the feeling of a gentle breeze on my face.,235,6
jitter,,,237,2
show_statement,white_neutral_faces/CFD-WF-201-156-N.jpg,I hate the feeling of being sunburned.,243,6
jitter,,,244,1
show_grid,white_neutral_faces/CFD-WF-201-156-N.jpg,I hate the feeling of being sunburned.,250,6
jitter,,,254,4
show_statement,white_neutral_faces/CFD-WF-200-099-N.jpg,I love the smell of the ocean.,260,6
jitter,,,264,4
show_grid,white_neutral_faces/CFD-WF-200-099-N.jpg,I love the smell of the ocean.,270,6
jitter,,,274,4
show_statement,white_neutral_faces/CFD-WM-014-002-N.jpg,"I like the feeling of cool, crisp air.",280,6
jitter,,,284,4
show_grid,white_neutral_faces/CFD-WM-014-002-N.jpg,"I like the feeling of cool, crisp air.",290,6
jitter,,,291,1
show_statement,white_neutral_faces/CFD-WM-207-048-N.jpg,I hate the feeling of being snowed in.,297,6
jitter,,,298,1
show_grid,white_neutral_faces/CFD-WM-207-048-N.jpg,I hate the feeling of being snowed in.,304,6
jitter,,,307,3
show_statement,white_neutral_faces/CFD-WF-220-101-N.jpg,I love the smell of rain in the air.,313,6
jitter,,,316,3
show_grid,white_neutral_faces/CFD-WF-220-101-N.jpg,I love the smell of rain in the air.,322,6
jitter,,,326,4
