event_type,face,statement,end_time,duration
show_statement,white_neutral_faces/CFD-WF-205-006-N.jpg,"I enjoy the feeling of a warm, cuddly dog.",6,6
jitter,,,8,2
show_grid,white_neutral_faces/CFD-WF-205-006-N.jpg,"I enjoy the feeling of a warm, cuddly dog.",14,6
jitter,,,18,4
show_statement,white_neutral_faces/CFD-WF-210-086-N.jpg,I prefer dogs to cats.,24,6
jitter,,,25,1
show_grid,white_neutral_faces/CFD-WF-210-086-N.jpg,I prefer dogs to cats.,31,6
jitter,,,33,2
show_statement,white_neutral_faces/CFD-WM-231-112-N.jpg,I prefer to live in a house with animals.,39,6
jitter,,,40,1
show_grid,white_neutral_faces/CFD-WM-231-112-N.jpg,I prefer to live in a house with animals.,46,6
jitter,,,50,4
show_statement,white_neutral_faces/CFD-WM-231-112-N.jpg,I hate the smell of animal poop.,56,6
jitter,,,58,2
show_grid,white_neutral_faces/CFD-WM-231-112-N.jpg,I hate the smell of animal poop.,64,6
jitter,,,65,1
show_statement,white_neutral_faces/CFD-WF-217-085-N.jpg,I like the feeling fur on my skin.,71,6
jitter,,,75,4
show_grid,white_neutral_faces/CFD-WF-217-085-N.jpg,I like the feeling fur on my skin.,81,6
jitter,,,82,1
show_statement,white_neutral_faces/CFD-WF-205-006-N.jpg,I love to take animals with me everywhere.,88,6
jitter,,,92,4
show_grid,white_neutral_faces/CFD-WF-205-006-N.jpg,I love to take animals with me everywhere.,98,6
jitter,,,100,2
show_statement,white_neutral_faces/CFD-WF-210-086-N.jpg,I don't like animals when they're too big.,106,6
jitter,,,107,1
show_grid,white_neutral_faces/CFD-WF-210-086-N.jpg,I don't like animals when they're too big.,113,6
jitter,,,116,3
show_statement,white_neutral_faces/CFD-WF-002-004-N.jpg,I don't like animals that shed fur.,122,6
jitter,,,125,3
show_grid,white_neutral_faces/CFD-WF-002-004-N.jpg,I don't like animals that shed fur.,131,6
jitter,,,132,1
show_statement,white_neutral_faces/CFD-WF-002-004-N.jpg,I love when animals wag their tails.,138,6
jitter,,,142,4
show_grid,white_neutral_faces/CFD-WF-002-004-N.jpg,I love when animals wag their tails.,148,6
jitter,,,149,1
show_statement,white_neutral_faces/CFD-WM-256-138-N.jpg,I don't like the feeling of guilt after abandoning an animal.,155,6
jitter,,,158,3
show_grid,white_neutral_faces/CFD-WM-256-138-N.jpg,I don't like the feeling of guilt after abandoning an animal.,164,6
jitter,,,166,2
show_statement,white_neutral_faces/CFD-WM-209-038-N.jpg,I hate the way animals can be unpredictable.,172,6
jitter,,,174,2
show_grid,white_neutral_faces/CFD-WM-209-038-N.jpg,I hate the way animals can be unpredictable.,180,6
jitter,,,182,2
show_statement,white_neutral_faces/CFD-WM-203-023-N.jpg,I love the feeling of satisfaction after helping an animal in need.,188,6
jitter,,,192,4
