event_type,face,statement,end_time,duration
show_statement,white_neutral_faces/CFD-WM-202-107-N.jpg,I am worried about being lost in nature.,6,6
jitter,,,8,2
show_grid,white_neutral_faces/CFD-WM-202-107-N.jpg,I am worried about being lost in nature.,14,6
jitter,,,17,3
show_statement,white_neutral_faces/CFD-WF-028-023-N.jpg,I enjoy sailing in the bay.,23,6
jitter,,,25,2
show_grid,white_neutral_faces/CFD-WF-028-023-N.jpg,I enjoy sailing in the bay.,31,6
jitter,,,33,2
show_statement,white_neutral_faces/CFD-WF-224-099-N.jpg,I hate the feeling of losing a game.,39,6
jitter,,,42,3
show_grid,white_neutral_faces/CFD-WF-224-099-N.jpg,I hate the feeling of losing a game.,48,6
jitter,,,49,1
show_statement,white_neutral_faces/CFD-WF-023-003-N.jpg,I love the feeling of peace that comes with being in nature.,55,6
jitter,,,58,3
show_grid,white_neutral_faces/CFD-WF-023-003-N.jpg,I love the feeling of peace that comes with being in nature.,64,6
jitter,,,67,3
show_statement,white_neutral_faces/CFD-WM-202-107-N.jpg,I don't like getting blisters.,73,6
jitter,,,75,2
show_grid,white_neutral_faces/CFD-WM-202-107-N.jpg,I don't like getting blisters.,81,6
jitter,,,83,2
show_statement,white_neutral_faces/CFD-WF-023-003-N.jpg,I don't like sports when they are too competitive.,89,6
jitter,,,93,4
show_grid,white_neutral_faces/CFD-WF-023-003-N.jpg,I don't like sports when they are too competitive.,99,6
jitter,,,103,4
show_statement,white_neutral_faces/CFD-WF-224-099-N.jpg,I love knitting or crocheting.,109,6
jitter,,,111,2
show_grid,white_neutral_faces/CFD-WF-224-099-N.jpg,I love knitting or crocheting.,117,6
jitter,,,119,2
show_statement,white_neutral_faces/CFD-WF-028-023-N.jpg,I hate the feeling of being tired.,125,6
jitter,,,129,4
show_grid,white_neutral_faces/CFD-WF-028-023-N.jpg,I hate the feeling of being tired.,135,6
jitter,,,139,4
show_statement,white_neutral_faces/CFD-WF-007-001-N.jpg,I don't like social activities.,145,6
jitter,,,148,3
show_grid,white_neutral_faces/CFD-WF-007-001-N.jpg,I don't like social activities.,154,6
jitter,,,157,3
show_statement,white_neutral_faces/CFD-WM-217-070-N.jpg,I like it when it's a team sport.,163,6
jitter,,,165,2
show_grid,white_neutral_faces/CFD-WM-217-070-N.jpg,I like it when it's a team sport.,171,6
jitter,,,173,2
show_statement,white_neutral_faces/CFD-WM-026-001-N.jpg,I like surfing on large waves.,179,6
jitter,,,183,4
show_grid,white_neutral_faces/CFD-WM-026-001-N.jpg,I like surfing on large waves.,189,6
jitter,,,190,1
show_statement,white_neutral_faces/CFD-WF-028-023-N.jpg,I enjoy the sound of the crowd cheering.,196,6
jitter,,,200,4
show_grid,white_neutral_faces/CFD-WF-028-023-N.jpg,I enjoy the sound of the crowd cheering.,206,6
jitter,,,210,4
show_statement,white_neutral_faces/CFD-WM-039-018-N.jpg,I love the feeling of accomplishment after finishing a race.,216,6
jitter,,,218,2
show_grid,white_neutral_faces/CFD-WM-039-018-N.jpg,I love the feeling of accomplishment after finishing a race.,224,6
jitter,,,227,3
show_statement,white_neutral_faces/CFD-WF-023-003-N.jpg,I hate the feeling of sand in my shoes.,233,6
jitter,,,234,1
show_grid,white_neutral_faces/CFD-WF-023-003-N.jpg,I hate the feeling of sand in my shoes.,240,6
jitter,,,243,3
show_statement,white_neutral_faces/CFD-WM-026-001-N.jpg,I love painting or sculpting.,249,6
jitter,,,252,3
show_grid,white_neutral_faces/CFD-WM-026-001-N.jpg,I love painting or sculpting.,258,6
jitter,,,259,1
show_statement,white_neutral_faces/CFD-WM-217-070-N.jpg,I like the feeling of runnning fast.,265,6
jitter,,,266,1
show_grid,white_neutral_faces/CFD-WM-217-070-N.jpg,I like the feeling of runnning fast.,272,6
jitter,,,276,4
show_statement,white_neutral_faces/CFD-WF-224-099-N.jpg,I don't like the feeling of being sunburned.,282,6
jitter,,,283,1
show_grid,white_neutral_faces/CFD-WF-224-099-N.jpg,I don't like the feeling of being sunburned.,289,6
jitter,,,290,1
show_statement,white_neutral_faces/CFD-WM-217-070-N.jpg,I love completing marathons.,296,6
jitter,,,300,4
show_grid,white_neutral_faces/CFD-WM-217-070-N.jpg,I love completing marathons.,306,6
jitter,,,309,3
show_statement,white_neutral_faces/CFD-WM-039-018-N.jpg,I don't being sore after exercising.,315,6
jitter,,,317,2
show_grid,white_neutral_faces/CFD-WM-039-018-N.jpg,I don't being sore after exercising.,323,6
jitter,,,327,4
show_statement,white_neutral_faces/CFD-WF-007-001-N.jpg,I love the feeling of scoring a goal.,333,6
jitter,,,336,3
show_grid,white_neutral_faces/CFD-WF-007-001-N.jpg,I love the feeling of scoring a goal.,342,6
jitter,,,345,3
show_statement,white_neutral_faces/CFD-WF-007-001-N.jpg,I like hiking a beautiful mountain range.,351,6
jitter,,,353,2
show_grid,white_neutral_faces/CFD-WF-007-001-N.jpg,I like hiking a beautiful mountain range.,359,6
jitter,,,360,1
show_statement,white_neutral_faces/CFD-WM-202-107-N.jpg,I like quieter activities.,366,6
jitter,,,369,3
show_grid,white_neutral_faces/CFD-WM-202-107-N.jpg,I like quieter activities.,375,6
jitter,,,377,2
show_statement,white_neutral_faces/CFD-WM-026-001-N.jpg,I enjoy outdoor activities.,383,6
jitter,,,384,1
show_grid,white_neutral_faces/CFD-WM-026-001-N.jpg,I enjoy outdoor activities.,390,6
jitter,,,392,2
show_statement,white_neutral_faces/CFD-WM-039-018-N.jpg,I prefer playing basketball to football.,398,6
jitter,,,401,3
show_grid,white_neutral_faces/CFD-WM-039-018-N.jpg,I prefer playing basketball to football.,407,6
jitter,,,408,1
